id,originX,originY,destX,destY,lambda,Pw,Lw,ew
497,7,104,85,75,0.2,0.999025,104.862,84.3326
498,57,128,89,66,0.2,0.997291,92.3824,67.237
499,159,86,64,117,0.2,0.997006,123.778,102.094
500,13,157,95,118,0.2,0.998376,119.065,103.094
501,31,115,111,76,0.2,0.974947,116.63,82.1377
502,39,95,98,77,0.2,0.933803,75.3789,61.1646
503,100,2,113,109,0.2,0.999715,117.856,106.919
504,1,82,84,98,0.2,0.996615,96.7772,83.8329
505,52,75,64,117,0.2,0.864967,52.7741,34.5537
506,129,96,86,72,0.2,0.992955,65.9897,45.8248
507,158,162,107,63,0.2,0.982143,147.732,87.295
508,33,46,108,60,0.2,0.999902,87.0973,82.3877
509,94,163,63,76,0.2,0.975641,115.666,87.5465
510,140,146,84,105,0.2,0.994701,95.1861,75.3233
511,88,84,107,71,0.2,0.89668,31.5915,20.8639
512,24,117,113,116,0.2,0.987521,88.7543,83.4747
513,94,129,107,117,0.2,0.884216,25.5818,17.6304
514,30,155,81,84,0.2,0.992998,119.667,92.376
515,71,173,103,112,0.2,0.997192,91.2558,76.5136
516,130,118,87,110,0.2,0.777702,50.1819,32.9844
517,70,122,77,111,0.2,0.786464,17.6922,13.0795
518,47,149,110,117,0.2,0.979296,93.5517,69.1129
519,159,26,118,115,0.2,0.999163,126.957,97.3473
520,173,18,101,81,0.2,0.999996,131.569,110.319
521,101,35,68,75,0.2,0.999123,71.4777,57.6523
522,28,173,94,71,0.2,0.999412,163.543,141.068
523,153,13,71,112,0.2,1,176.263,139.718
524,129,34,83,76,0.2,0.997217,87.0485,79.9577
525,59,35,83,79,0.2,0.980166,67.2314,53.1927
526,126,26,101,102,0.2,0.999836,99.6844,82.0526
527,68,38,61,95,0.2,0.863838,63.3968,41.1646
528,128,8,88,90,0.2,0.999952,118.868,100.923
529,42,2,64,64,0.2,0.999416,83.0585,75.2153
530,161,100,61,60,0.2,0.999999,136.274,90.4662
531,149,111,74,77,0.2,0.999645,107.235,74.5933
532,71,108,60,70,0.2,0.699454,49.3575,25.5295
533,8,166,102,90,0.2,0.999996,165.297,129.602
534,39,81,75,73,0.2,0.807022,43.4604,30.0568
535,30,109,119,81,0.2,0.998566,113.498,86.2422
536,52,76,61,98,0.2,0.793247,30.1542,21.9238
537,120,142,120,71,0.2,0.964311,70.7864,53.509
538,150,48,81,66,0.2,0.999724,84.8016,76.2642
539,81,178,64,86,0.2,0.918581,106.858,76.9399
540,125,27,85,67,0.2,0.99879,78.3732,65.7609
541,147,144,104,102,0.2,0.998049,83.3069,69.8325
542,11,90,95,94,0.2,0.994792,85.9203,79.6798
543,90,165,85,63,0.2,0.953495,104.954,80.9463
544,70,56,80,105,0.2,0.977907,58.5083,46.1187
545,15,10,75,97,0.2,0.99996,142.787,131.362
546,23,74,106,78,0.2,0.999838,85.1085,78.1357
547,116,152,119,98,0.2,0.995159,56.3178,46.1092
548,79,73,112,114,0.2,0.999846,73.4155,42.4942
549,42,140,80,84,0.2,0.935657,92.189,75.4687
550,14,65,75,76,0.2,0.999276,70.2569,63.7868
551,29,92,98,111,0.2,0.998556,86.797,74.8563
552,114,59,111,95,0.2,0.947705,38.9435,29.5835
553,118,102,107,69,0.2,0.961945,44.1515,30.1452
554,149,173,116,74,0.2,0.999903,129.859,113.401
555,153,60,68,110,0.2,1,131.029,98.0143
556,40,138,119,79,0.2,0.999952,135.193,100.668
557,95,8,94,78,0.2,0.994305,69.9004,66.2834
558,0,138,71,101,0.2,0.999981,104.93,96.3019
559,35,39,100,94,0.2,0.999772,117.705,87.7255
560,84,104,82,94,0.2,0.804533,12.5908,7.7107
561,141,32,67,76,0.2,0.999961,115.263,102.619
562,25,71,100,99,0.2,1,99.6348,89.4527
563,57,110,69,111,0.2,0.968988,13.0819,10.9207
564,158,166,94,80,0.2,0.999887,146.452,120.688
565,98,30,98,68,0.2,0.980548,36.8757,35.1354
566,11,7,109,117,0.2,1,203.765,176.566
567,0,53,98,107,0.2,0.999998,148.011,140.068
568,130,25,119,69,0.2,0.999355,53.3332,51.2543
569,165,3,61,94,0.2,0.999959,191.271,152.52
570,17,89,91,61,0.2,0.898495,100.32,68.6194
571,93,61,110,64,0.2,0.773412,20.0242,11.1938
572,39,24,118,118,0.2,1,169.294,133.911
573,86,103,93,71,0.2,0.922584,38.8836,27.742
574,52,76,69,83,0.2,0.963878,24.1078,15.1015
575,170,62,71,119,0.2,0.999974,150.817,106.369
